,interest,country_code,citizenship,gender,is_denominator,language,languages,max_age,min_age,scholarity,audience,age_range
3955,fitness and wellness,SA,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,26000,18-24.0
3956,fitness and wellness,SO,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,7900,18-24.0
3957,fitness and wellness,TN,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,5000,18-24.0
3958,fitness and wellness,AE,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,9200,18-24.0
3959,fitness and wellness,YE,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,110,18-24.0
3960,fitness and wellness,PS,locals,Male,False,English,NOTSELECTED,24.0,18,GRAD,40,18-24.0
4488,fitness and wellness,DZ,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,310000,18-24.0
4490,fitness and wellness,EG,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,710000,18-24.0
4491,fitness and wellness,IQ,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,230000,18-24.0
4492,fitness and wellness,JO,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,110000,18-24.0
4493,fitness and wellness,KW,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,2500,18-24.0
4494,fitness and wellness,LB,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,64000,18-24.0
4495,fitness and wellness,LY,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,53000,18-24.0
4496,fitness and wellness,MA,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,360000,18-24.0
4497,fitness and wellness,OM,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,2800,18-24.0
4498,fitness and wellness,QA,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,890,18-24.0
4499,fitness and wellness,SA,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,75000,18-24.0
4500,fitness and wellness,SO,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,8200,18-24.0
4501,fitness and wellness,TN,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,160000,18-24.0
4502,fitness and wellness,AE,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,4300,18-24.0
4503,fitness and wellness,YE,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,11000,18-24.0
4504,fitness and wellness,PS,locals,Female,False,Arabic,NOTSELECTED,24.0,18,ND,21000,18-24.0
4505,fitness and wellness,DZ,locals,Female,False,English,NOTSELECTED,24.0,18,ND,25000,18-24.0
4507,fitness and wellness,EG,locals,Female,False,English,NOTSELECTED,24.0,18,ND,120000,18-24.0
4508,fitness and wellness,IQ,locals,Female,False,English,NOTSELECTED,24.0,18,ND,49000,18-24.0
4509,fitness and wellness,JO,locals,Female,False,English,NOTSELECTED,24.0,18,ND,21000,18-24.0
4510,fitness and wellness,KW,locals,Female,False,English,NOTSELECTED,24.0,18,ND,4100,18-24.0
4511,fitness and wellness,LB,locals,Female,False,English,NOTSELECTED,24.0,18,ND,54000,18-24.0
