,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
11555,45+,2,Locals,No Degree,NOTSELECTED,4700,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11556,18-24,1,Locals,High School,NOTSELECTED,790000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11557,25-44,1,Locals,High School,NOTSELECTED,460000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11558,45+,1,Locals,High School,NOTSELECTED,98000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11559,18-24,2,Locals,High School,NOTSELECTED,760000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11560,25-44,2,Locals,High School,NOTSELECTED,330000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11561,45+,2,Locals,High School,NOTSELECTED,60000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11562,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,600000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11563,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,1200000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11564,45+,1,Locals,UNSPECIFIED,NOTSELECTED,440000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11565,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,620000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11566,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,1100000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11567,45+,2,Locals,UNSPECIFIED,NOTSELECTED,420000,1494418491,['facebook'],health,"{""values"": [""EG""], ""name"": ""countries"", ""location_types"": [""home""]}"
11568,18-24,1,Expats,Graduated,NOTSELECTED,52000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11569,25-44,1,Expats,Graduated,NOTSELECTED,110000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11570,45+,1,Expats,Graduated,NOTSELECTED,15000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11571,18-24,2,Expats,Graduated,NOTSELECTED,10000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11572,25-44,2,Expats,Graduated,NOTSELECTED,21000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11573,45+,2,Expats,Graduated,NOTSELECTED,2800,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11574,18-24,1,Expats,No Degree,NOTSELECTED,5400,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11575,25-44,1,Expats,No Degree,NOTSELECTED,2900,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11576,45+,1,Expats,No Degree,NOTSELECTED,500,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11577,18-24,2,Expats,No Degree,NOTSELECTED,1500,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11578,25-44,2,Expats,No Degree,NOTSELECTED,780,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11579,45+,2,Expats,No Degree,NOTSELECTED,150,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11580,18-24,1,Expats,High School,NOTSELECTED,29000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11581,25-44,1,Expats,High School,NOTSELECTED,33000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11582,45+,1,Expats,High School,NOTSELECTED,4900,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11583,18-24,2,Expats,High School,NOTSELECTED,8800,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11584,25-44,2,Expats,High School,NOTSELECTED,7300,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11585,45+,2,Expats,High School,NOTSELECTED,1200,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11586,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,44000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11587,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,67000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11588,45+,1,Expats,UNSPECIFIED,NOTSELECTED,14000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11589,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,15000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11590,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,20000,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
11591,45+,2,Expats,UNSPECIFIED,NOTSELECTED,4500,1494418491,['facebook'],health,"{""values"": [""IQ""], ""name"": ""countries"", ""location_types"": [""home""]}"
