,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
10893,18-24,50,ALL,Philippines,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10894,25-44,1700,ALL,Philippines,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10895,45+,1100,ALL,Philippines,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10896,18-24,40,ALL,Philippines,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10897,25-44,180,ALL,Philippines,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10898,45+,140,ALL,Philippines,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10899,18-24,0,ALL,Philippines,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10900,25-44,630,ALL,Philippines,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10901,45+,720,ALL,Philippines,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10902,18-24,0,ALL,Philippines,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10903,25-44,110,ALL,Philippines,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10904,45+,90,ALL,Philippines,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10905,18-24,0,ALL,Philippines,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10906,25-44,610,ALL,Philippines,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10907,45+,430,ALL,Philippines,2.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
10908,18-24,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10909,25-44,30,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10910,45+,30,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10911,18-24,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10912,25-44,60,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10913,45+,70,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],diabetes awareness,BH
10914,18-24,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10915,25-44,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10916,45+,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10917,18-24,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10918,25-44,40,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10919,45+,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],diabetes awareness,BH
10920,18-24,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],diabetes awareness,BH
