,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
23666,45+,5600,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23667,18-24,38000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23668,25-44,22000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23669,45+,3900,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23670,18-24,6200,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,DZ
23671,25-44,7700,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,DZ
23672,45+,1300,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,DZ
23673,18-24,3200,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,DZ
23674,25-44,3700,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,DZ
23675,45+,550,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,DZ
23676,18-24,8300,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],mental disease depression,DZ
23677,25-44,13000,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],mental disease depression,DZ
23678,45+,2400,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],mental disease depression,DZ
23679,18-24,4000,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],mental disease depression,DZ
23680,25-44,6400,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],mental disease depression,DZ
23681,45+,1300,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],mental disease depression,DZ
23682,18-24,3000,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23683,25-44,2300,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23684,45+,420,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23685,18-24,1400,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23686,25-44,1100,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23687,45+,230,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],mental disease depression,DZ
23688,18-24,220,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,BH
23689,25-44,1800,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,BH
23690,45+,440,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,BH
23691,18-24,50,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,BH
23692,25-44,940,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,BH
23693,45+,190,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],mental disease depression,BH
