,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
8660,45+,52000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8661,18-24,170000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8662,25-44,220000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8663,45+,21000,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8664,18-24,420000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8665,25-44,590000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8666,45+,80000,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8667,18-24,190000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8668,25-44,230000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8669,45+,41000,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8670,18-24,190000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8671,25-44,150000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8672,45+,20000,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8673,18-24,90000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8674,25-44,51000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8675,45+,10000,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8676,18-24,27000,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8677,25-44,34000,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8678,45+,4900,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8679,18-24,8500,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8680,25-44,9400,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8681,45+,1200,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,DZ
8682,18-24,25000,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8683,25-44,34000,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8684,45+,6700,ALL,Others,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8685,18-24,8200,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8686,25-44,12000,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8687,45+,2600,ALL,Others,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,DZ
8688,18-24,11000,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8689,25-44,8800,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8690,45+,1400,ALL,Others,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8691,18-24,4200,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8692,25-44,2700,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8693,45+,600,ALL,Others,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,DZ
8694,18-24,3400,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8695,25-44,20000,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8696,45+,2500,ALL,India,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8697,18-24,450,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8698,25-44,6000,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8699,45+,700,ALL,India,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8700,18-24,2700,ALL,India,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
