,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
2263,25-44,13000,ALL,Others,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2264,45+,2800,ALL,Others,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2265,18-24,6400,ALL,Others,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2266,25-44,4900,ALL,Others,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2267,45+,1300,ALL,Others,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,DZ
2268,18-24,4700,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2269,25-44,31000,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2270,45+,4800,ALL,India,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2271,18-24,850,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2272,25-44,9700,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2273,45+,1200,ALL,India,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2274,18-24,4200,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2275,25-44,18000,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2276,45+,5200,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2277,18-24,520,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2278,25-44,3300,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2279,45+,860,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2280,18-24,1500,ALL,India,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2281,25-44,7300,ALL,India,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2282,45+,1600,ALL,India,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2283,18-24,470,ALL,India,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2284,25-44,1400,ALL,India,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2285,45+,270,ALL,India,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2286,18-24,4400,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2287,25-44,13000,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2288,45+,310,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2289,18-24,120,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2290,25-44,460,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2291,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2292,18-24,10000,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2293,25-44,29000,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2294,45+,1600,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2295,18-24,1000,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2296,25-44,1500,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2297,45+,70,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2298,18-24,1700,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2299,25-44,4400,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2300,45+,130,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2301,18-24,100,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2302,25-44,180,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2303,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2304,18-24,440,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2305,25-44,2300,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2306,45+,190,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2307,18-24,90,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2308,25-44,340,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2309,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2310,18-24,640,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2311,25-44,1900,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2312,45+,270,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2313,18-24,150,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2314,25-44,380,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2315,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2316,18-24,190,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2317,25-44,800,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2318,45+,50,ALL,Nepal,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2319,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2320,25-44,80,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2321,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2322,18-24,530,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2323,25-44,5700,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2324,45+,1300,ALL,Philippines,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2325,18-24,890,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2326,25-44,14000,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2327,45+,3400,ALL,Philippines,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2328,18-24,400,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2329,25-44,2000,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2330,45+,700,ALL,Philippines,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2331,18-24,650,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2332,25-44,5600,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2333,45+,2300,ALL,Philippines,2.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2334,18-24,170,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2335,25-44,1400,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2336,45+,440,ALL,Philippines,1.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2337,18-24,450,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2338,25-44,4800,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2339,45+,1400,ALL,Philippines,2.0,NOTSELECTED,High School,1489924519,fitness and wellness,BH
2340,18-24,450,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2341,25-44,2100,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2342,45+,750,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2343,18-24,230,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2344,25-44,1600,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2345,45+,570,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,fitness and wellness,BH
2346,18-24,320,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
2347,25-44,980,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,fitness and wellness,BH
