,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
12985,25-44,15000,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
12986,45+,4000,ALL,India,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
12987,18-24,480,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
12988,25-44,2500,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
12989,45+,730,ALL,India,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
12990,18-24,1400,ALL,India,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
12991,25-44,6000,ALL,India,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
12992,45+,1200,ALL,India,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
12993,18-24,540,ALL,India,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
12994,25-44,1300,ALL,India,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
12995,45+,240,ALL,India,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
12996,18-24,3800,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12997,25-44,11000,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12998,45+,300,ALL,Bangladesh,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
12999,18-24,160,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13000,25-44,290,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13001,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13002,18-24,8800,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13003,25-44,25000,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13004,45+,1300,ALL,Bangladesh,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13005,18-24,1000,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13006,25-44,1200,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13007,45+,60,ALL,Bangladesh,2.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13008,18-24,1500,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13009,25-44,4000,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13010,45+,110,ALL,Bangladesh,1.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13011,18-24,110,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13012,25-44,140,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13013,45+,0,ALL,Bangladesh,2.0,NOTSELECTED,High School,1489924519,luxury goods,BH
13014,18-24,390,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13015,25-44,2000,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13016,45+,130,ALL,Nepal,1.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13017,18-24,90,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13018,25-44,330,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13019,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1489924519,luxury goods,BH
13020,18-24,450,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13021,25-44,1600,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
13022,45+,220,ALL,Nepal,1.0,NOTSELECTED,No Degree,1489924519,luxury goods,BH
