,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,topic,location
6625,25-44,350,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6626,45+,90,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6627,18-24,70,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6628,25-44,580,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6629,45+,240,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6630,18-24,80,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6631,25-44,210,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6632,45+,70,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6633,18-24,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6634,25-44,160,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6635,45+,60,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6636,18-24,100,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6637,25-44,120,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6638,45+,0,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6639,18-24,0,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6640,25-44,180,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6641,45+,90,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6642,18-24,1500,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6643,25-44,3900,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6644,45+,440,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6645,18-24,960,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6646,25-44,3600,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6647,45+,450,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6648,18-24,1600,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6649,25-44,3100,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6650,45+,400,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6651,18-24,960,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6652,25-44,2600,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6653,45+,380,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1489924519,obesity,BH
6654,18-24,790,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6655,25-44,1300,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6656,45+,150,ALL,Not Expats,1.0,NOTSELECTED,High School,1489924519,obesity,BH
6657,18-24,720,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6658,25-44,840,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6659,45+,90,ALL,Not Expats,2.0,NOTSELECTED,High School,1489924519,obesity,BH
6660,18-24,910,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6661,25-44,5000,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6662,45+,580,ALL,Others,1.0,NOTSELECTED,Graduated,1489924519,obesity,BH
6663,18-24,560,ALL,Others,2.0,NOTSELECTED,Graduated,1489924519,obesity,BH
