,ages_ranges,genders,behavior,scholarities,audience,topic,location
2106,18-24,1.0,Locals,Graduated,50,Peace,Delaware
2107,25-44,1.0,Locals,Graduated,600,Peace,Delaware
2108,45+,1.0,Locals,Graduated,1200,Peace,Delaware
2109,18-24,2.0,Locals,Graduated,190,Peace,Delaware
2110,25-44,2.0,Locals,Graduated,2500,Peace,Delaware
2111,45+,2.0,Locals,Graduated,4300,Peace,Delaware
2112,18-24,1.0,Locals,No Degree,110,Peace,Delaware
2113,25-44,1.0,Locals,No Degree,280,Peace,Delaware
2114,45+,1.0,Locals,No Degree,320,Peace,Delaware
2115,18-24,2.0,Locals,No Degree,190,Peace,Delaware
2116,25-44,2.0,Locals,No Degree,630,Peace,Delaware
2117,45+,2.0,Locals,No Degree,1600,Peace,Delaware
2118,18-24,1.0,Locals,High School,130,Peace,Delaware
2119,25-44,1.0,Locals,High School,540,Peace,Delaware
2120,45+,1.0,Locals,High School,790,Peace,Delaware
2121,18-24,2.0,Locals,High School,570,Peace,Delaware
2122,25-44,2.0,Locals,High School,1600,Peace,Delaware
2123,45+,2.0,Locals,High School,3300,Peace,Delaware
2124,18-24,1.0,Expats,Graduated,90,Peace,District of Columbia
2125,25-44,1.0,Expats,Graduated,760,Peace,District of Columbia
2126,45+,1.0,Expats,Graduated,250,Peace,District of Columbia
2127,18-24,2.0,Expats,Graduated,220,Peace,District of Columbia
2128,25-44,2.0,Expats,Graduated,1200,Peace,District of Columbia
2129,45+,2.0,Expats,Graduated,320,Peace,District of Columbia
2130,18-24,1.0,Expats,No Degree,30,Peace,District of Columbia
2131,25-44,1.0,Expats,No Degree,340,Peace,District of Columbia
2132,45+,1.0,Expats,No Degree,130,Peace,District of Columbia
2133,18-24,2.0,Expats,No Degree,40,Peace,District of Columbia
2134,25-44,2.0,Expats,No Degree,320,Peace,District of Columbia
2135,45+,2.0,Expats,No Degree,160,Peace,District of Columbia
2136,18-24,1.0,Expats,High School,190,Peace,District of Columbia
2137,25-44,1.0,Expats,High School,180,Peace,District of Columbia
2138,45+,1.0,Expats,High School,50,Peace,District of Columbia
2139,18-24,2.0,Expats,High School,190,Peace,District of Columbia
2140,25-44,2.0,Expats,High School,270,Peace,District of Columbia
2141,45+,2.0,Expats,High School,70,Peace,District of Columbia
2142,18-24,1.0,Locals,Graduated,310,Peace,District of Columbia
2143,25-44,1.0,Locals,Graduated,1700,Peace,District of Columbia
