,age_range,gender,citizenship,scholarity,audience,topic,country_code
109,25-44,Male,Expats,Graduated,190000,NOTSELECTED,IQ
110,45+,Male,Expats,Graduated,26000,NOTSELECTED,IQ
111,18-24,Female,Expats,Graduated,30000,NOTSELECTED,IQ
112,25-44,Female,Expats,Graduated,39000,NOTSELECTED,IQ
113,45+,Female,Expats,Graduated,4200,NOTSELECTED,IQ
114,18-24,Male,Expats,No Degree,120000,NOTSELECTED,IQ
115,25-44,Male,Expats,No Degree,160000,NOTSELECTED,IQ
116,45+,Male,Expats,No Degree,28000,NOTSELECTED,IQ
117,18-24,Female,Expats,No Degree,61000,NOTSELECTED,IQ
118,25-44,Female,Expats,No Degree,51000,NOTSELECTED,IQ
119,45+,Female,Expats,No Degree,8100,NOTSELECTED,IQ
120,18-24,Male,Expats,High School,49000,NOTSELECTED,IQ
121,25-44,Male,Expats,High School,54000,NOTSELECTED,IQ
122,45+,Male,Expats,High School,7800,NOTSELECTED,IQ
123,18-24,Female,Expats,High School,19000,NOTSELECTED,IQ
124,25-44,Female,Expats,High School,12000,NOTSELECTED,IQ
125,45+,Female,Expats,High School,1700,NOTSELECTED,IQ
126,18-24,Male,Locals,Graduated,930000,NOTSELECTED,IQ
127,25-44,Male,Locals,Graduated,1600000,NOTSELECTED,IQ
128,45+,Male,Locals,Graduated,260000,NOTSELECTED,IQ
129,18-24,Female,Locals,Graduated,340000,NOTSELECTED,IQ
130,25-44,Female,Locals,Graduated,430000,NOTSELECTED,IQ
131,45+,Female,Locals,Graduated,62000,NOTSELECTED,IQ
132,18-24,Male,Locals,No Degree,2400000,NOTSELECTED,IQ
133,25-44,Male,Locals,No Degree,2400000,NOTSELECTED,IQ
134,45+,Male,Locals,No Degree,560000,NOTSELECTED,IQ
135,18-24,Female,Locals,No Degree,1100000,NOTSELECTED,IQ
136,25-44,Female,Locals,No Degree,850000,NOTSELECTED,IQ
137,45+,Female,Locals,No Degree,190000,NOTSELECTED,IQ
138,18-24,Male,Locals,High School,560000,NOTSELECTED,IQ
139,25-44,Male,Locals,High School,520000,NOTSELECTED,IQ
140,45+,Male,Locals,High School,84000,NOTSELECTED,IQ
141,18-24,Female,Locals,High School,290000,NOTSELECTED,IQ
142,25-44,Female,Locals,High School,150000,NOTSELECTED,IQ
143,45+,Female,Locals,High School,22000,NOTSELECTED,IQ
144,18-24,Male,Expats,Graduated,72000,NOTSELECTED,JO
145,25-44,Male,Expats,Graduated,160000,NOTSELECTED,JO
146,45+,Male,Expats,Graduated,27000,NOTSELECTED,JO
147,18-24,Female,Expats,Graduated,43000,NOTSELECTED,JO
148,25-44,Female,Expats,Graduated,86000,NOTSELECTED,JO
149,45+,Female,Expats,Graduated,17000,NOTSELECTED,JO
150,18-24,Male,Expats,No Degree,120000,NOTSELECTED,JO
151,25-44,Male,Expats,No Degree,190000,NOTSELECTED,JO
152,45+,Male,Expats,No Degree,41000,NOTSELECTED,JO
153,18-24,Female,Expats,No Degree,79000,NOTSELECTED,JO
154,25-44,Female,Expats,No Degree,92000,NOTSELECTED,JO
155,45+,Female,Expats,No Degree,30000,NOTSELECTED,JO
156,18-24,Male,Expats,High School,53000,NOTSELECTED,JO
157,25-44,Male,Expats,High School,50000,NOTSELECTED,JO
158,45+,Male,Expats,High School,9000,NOTSELECTED,JO
159,18-24,Female,Expats,High School,46000,NOTSELECTED,JO
160,25-44,Female,Expats,High School,29000,NOTSELECTED,JO
