,ages_ranges,genders,behavior,scholarities,audience,topic,location
9470,45+,1.0,Expats,Graduated,720,War,District of Columbia
9471,18-24,2.0,Expats,Graduated,260,War,District of Columbia
9472,25-44,2.0,Expats,Graduated,1100,War,District of Columbia
9473,45+,2.0,Expats,Graduated,360,War,District of Columbia
9474,18-24,1.0,Expats,No Degree,690,War,District of Columbia
9475,25-44,1.0,Expats,No Degree,2000,War,District of Columbia
9476,45+,1.0,Expats,No Degree,590,War,District of Columbia
9477,18-24,2.0,Expats,No Degree,150,War,District of Columbia
9478,25-44,2.0,Expats,No Degree,460,War,District of Columbia
9479,45+,2.0,Expats,No Degree,180,War,District of Columbia
9480,18-24,1.0,Expats,High School,610,War,District of Columbia
9481,25-44,1.0,Expats,High School,1000,War,District of Columbia
9482,45+,1.0,Expats,High School,170,War,District of Columbia
9483,18-24,2.0,Expats,High School,250,War,District of Columbia
9484,25-44,2.0,Expats,High School,400,War,District of Columbia
9485,45+,2.0,Expats,High School,70,War,District of Columbia
9486,18-24,1.0,Locals,Graduated,1400,War,District of Columbia
9487,25-44,1.0,Locals,Graduated,7000,War,District of Columbia
9488,45+,1.0,Locals,Graduated,2400,War,District of Columbia
9489,18-24,2.0,Locals,Graduated,1000,War,District of Columbia
9490,25-44,2.0,Locals,Graduated,5100,War,District of Columbia
9491,45+,2.0,Locals,Graduated,1700,War,District of Columbia
9492,18-24,1.0,Locals,No Degree,690,War,District of Columbia
9493,25-44,1.0,Locals,No Degree,1800,War,District of Columbia
9494,45+,1.0,Locals,No Degree,1300,War,District of Columbia
9495,18-24,2.0,Locals,No Degree,200,War,District of Columbia
9496,25-44,2.0,Locals,No Degree,750,War,District of Columbia
9497,45+,2.0,Locals,No Degree,800,War,District of Columbia
9498,18-24,1.0,Locals,High School,2100,War,District of Columbia
9499,25-44,1.0,Locals,High School,3200,War,District of Columbia
9500,45+,1.0,Locals,High School,1200,War,District of Columbia
9501,18-24,2.0,Locals,High School,1100,War,District of Columbia
9502,25-44,2.0,Locals,High School,1700,War,District of Columbia
9503,45+,2.0,Locals,High School,790,War,District of Columbia
9504,18-24,1.0,Expats,Graduated,18000,War,Florida
9505,25-44,1.0,Expats,Graduated,73000,War,Florida
9506,45+,1.0,Expats,Graduated,33000,War,Florida
9507,18-24,2.0,Expats,Graduated,5100,War,Florida
9508,25-44,2.0,Expats,Graduated,31000,War,Florida
9509,45+,2.0,Expats,Graduated,23000,War,Florida
9510,18-24,1.0,Expats,No Degree,18000,War,Florida
9511,25-44,1.0,Expats,No Degree,51000,War,Florida
9512,45+,1.0,Expats,No Degree,28000,War,Florida
9513,18-24,2.0,Expats,No Degree,4700,War,Florida
9514,25-44,2.0,Expats,No Degree,16000,War,Florida
9515,45+,2.0,Expats,No Degree,17000,War,Florida
9516,18-24,1.0,Expats,High School,17000,War,Florida
9517,25-44,1.0,Expats,High School,37000,War,Florida
9518,45+,1.0,Expats,High School,14000,War,Florida
9519,18-24,2.0,Expats,High School,6600,War,Florida
9520,25-44,2.0,Expats,High School,15000,War,Florida
9521,45+,2.0,Expats,High School,11000,War,Florida
9522,18-24,1.0,Locals,Graduated,42000,War,Florida
