,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
107,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,44,25,ND,17000,25-44
108,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,44,25,ND,270000,25-44
109,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,44,25,ND,58000,25-44
110,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,44,25,ND,68000,25-44
111,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,44,25,ND,27000,25-44
112,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,44,25,HS,180000,25-44
113,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,44,25,HS,530000,25-44
114,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,44,25,HS,290000,25-44
115,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,44,25,HS,75000,25-44
116,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,44,25,HS,6000,25-44
117,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,44,25,HS,37000,25-44
118,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,44,25,HS,38000,25-44
119,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,44,25,HS,180000,25-44
120,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,44,25,HS,7100,25-44
121,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,44,25,HS,6800,25-44
122,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,44,25,HS,250000,25-44
123,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,44,25,HS,4500,25-44
124,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,44,25,HS,110000,25-44
125,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,44,25,HS,18000,25-44
126,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,44,25,HS,28000,25-44
127,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,44,25,HS,16000,25-44
128,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,44,25,GRAD,670000,25-44
129,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,44,25,GRAD,2400000,25-44
130,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,44,25,GRAD,990000,25-44
131,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,44,25,GRAD,250000,25-44
132,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,44,25,GRAD,25000,25-44
133,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,44,25,GRAD,130000,25-44
134,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,44,25,GRAD,160000,25-44
135,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,44,25,GRAD,680000,25-44
136,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,44,25,GRAD,27000,25-44
137,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,44,25,GRAD,27000,25-44
138,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,44,25,GRAD,740000,25-44
139,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,44,25,GRAD,22000,25-44
140,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,44,25,GRAD,370000,25-44
141,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,44,25,GRAD,81000,25-44
142,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,44,25,GRAD,110000,25-44
143,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,44,25,GRAD,70000,25-44
144,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,44,25,ND,350000,25-44
145,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,44,25,ND,1100000,25-44
146,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,44,25,ND,290000,25-44
147,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,44,25,ND,170000,25-44
148,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,44,25,ND,17000,25-44
149,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,44,25,ND,150000,25-44
150,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,44,25,ND,100000,25-44
151,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,44,25,ND,360000,25-44
152,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,44,25,ND,6800,25-44
153,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,44,25,ND,7600,25-44
154,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,44,25,ND,290000,25-44
155,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,44,25,ND,12000,25-44
156,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,44,25,ND,230000,25-44
157,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,44,25,ND,25000,25-44
158,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,44,25,ND,12000,25-44
159,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,44,25,ND,33000,25-44
160,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,44,25,HS,80000,25-44
161,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,44,25,HS,310000,25-44
162,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,44,25,HS,79000,25-44
163,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,44,25,HS,57000,25-44
164,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,44,25,HS,4300,25-44
165,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,44,25,HS,39000,25-44
166,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,44,25,HS,27000,25-44
167,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,44,25,HS,100000,25-44
168,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,44,25,HS,1500,25-44
169,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,44,25,HS,2800,25-44
170,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,44,25,HS,58000,25-44
171,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,44,25,HS,1800,25-44
172,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,44,25,HS,87000,25-44
173,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,44,25,HS,7900,25-44
174,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,44,25,HS,4900,25-44
175,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,44,25,HS,15000,25-44
176,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,44,25,GRAD,360000,25-44
177,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,44,25,GRAD,1600000,25-44
178,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,44,25,GRAD,260000,25-44
179,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,44,25,GRAD,190000,25-44
180,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,44,25,GRAD,16000,25-44
181,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,44,25,GRAD,140000,25-44
182,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,44,25,GRAD,110000,25-44
183,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,44,25,GRAD,350000,25-44
184,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,44,25,GRAD,6700,25-44
185,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,44,25,GRAD,11000,25-44
186,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,44,25,GRAD,190000,25-44
187,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,44,25,GRAD,8600,25-44
188,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,44,25,GRAD,350000,25-44
189,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,44,25,GRAD,34000,25-44
190,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,44,25,GRAD,19000,25-44
191,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,44,25,GRAD,58000,25-44
192,fitness and wellness,DZ,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,100000,45+
193,fitness and wellness,EG,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,470000,45+
194,fitness and wellness,IQ,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,210000,45+
195,fitness and wellness,JO,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,63000,45+
196,fitness and wellness,KW,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,5200,45+
197,fitness and wellness,LB,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,58000,45+
198,fitness and wellness,LY,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,28000,45+
199,fitness and wellness,MA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,110000,45+
200,fitness and wellness,OM,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,2300,45+
201,fitness and wellness,QA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,3200,45+
202,fitness and wellness,SA,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,220000,45+
203,fitness and wellness,SO,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,3100,45+
204,fitness and wellness,TN,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,76000,45+
205,fitness and wellness,AE,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,7300,45+
206,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,ND,10000,45+
